                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.54869,                0.29159,                0.84899,                0.68698,                0.28506,                0.85437,                0.93297,                0.91834,                0.95221,                0.79344,                0.68097,                0.38558,                0.94085,                 0.7546,                0.43069,                0.95154,             0.00038507,             0.00038507,             0.00038507
                     69,                0.54287,                0.28928,                0.84679,                  0.687,                0.28536,                0.85257,                0.92896,                0.91441,                0.95037,                0.79302,                0.67492,                0.38044,                0.93914,                0.75113,                0.42739,                0.95035,             0.00037407,             0.00037407,             0.00037407
                     70,                0.54027,                 0.2882,                0.84625,                0.68252,                0.28415,                0.85189,                0.92655,                0.91324,                0.95059,                0.79237,                0.67128,                0.38456,                0.94009,                0.74583,                0.42793,                0.95129,             0.00036307,             0.00036307,             0.00036307
                     71,                0.53686,                0.28596,                0.84787,                0.67657,                0.27962,                0.85281,                0.94544,                0.90321,                0.95241,                0.79658,                 0.6715,                0.38187,                  0.944,                0.74369,                0.42302,                0.95384,             0.00035208,             0.00035208,             0.00035208
                     72,                0.53281,                0.28549,                0.84869,                0.67094,                0.27956,                0.85334,                0.93829,                0.90948,                0.95115,                0.79531,                0.67704,                0.38662,                0.94935,                0.74755,                0.42738,                0.95673,             0.00034108,             0.00034108,             0.00034108
                     73,                0.53057,                0.28215,                0.84688,                0.66843,                0.27637,                 0.8521,                 0.9398,                0.90795,                  0.951,                0.79533,                 0.6688,                0.38297,                 0.9459,                0.74323,                0.42613,                0.95585,             0.00033008,             0.00033008,             0.00033008
                     74,                0.52299,                0.27868,                0.84473,                0.66166,                0.27316,                0.84993,                0.94409,                 0.9061,                0.95291,                0.79654,                0.66578,                0.38479,                0.94766,                0.73908,                0.42914,                0.95616,             0.00031908,             0.00031908,             0.00031908
                     75,                0.52232,                0.27754,                0.84338,                0.66133,                0.27195,                0.84801,                0.93241,                0.91697,                0.95008,                0.79589,                 0.6631,                0.38074,                0.94305,                0.73527,                0.42596,                0.95196,             0.00030808,             0.00030808,             0.00030808
                     76,                 0.5166,                0.27332,                0.84052,                0.65549,                0.26752,                0.84591,                0.94206,                0.90848,                0.94896,                0.79437,                0.66579,                0.38335,                0.94542,                0.73687,                0.43396,                0.95298,             0.00029708,             0.00029708,             0.00029708
                     77,                0.51189,                0.27288,                0.83968,                0.64984,                0.26824,                0.84477,                0.94065,                0.90479,                0.95117,                0.79946,                0.66332,                0.37839,                0.94439,                0.73563,                0.42499,                0.95322,             0.00028608,             0.00028608,             0.00028608
                     78,                0.50545,                0.27138,                0.84033,                0.63997,                0.26532,                0.84483,                0.94078,                0.91339,                0.95145,                0.79924,                0.66018,                0.37738,                0.94481,                0.73307,                  0.425,                0.95415,             0.00027508,             0.00027508,             0.00027508
                     79,                0.50315,                0.26805,                0.83822,                0.63725,                0.26205,                0.84342,                0.94666,                0.90794,                0.95229,                0.80108,                0.65631,                0.38045,                0.94369,                0.72854,                0.42863,                 0.9524,             0.00026408,             0.00026408,             0.00026408
                     80,                0.49995,                0.26746,                 0.8385,                0.63395,                0.26136,                0.84368,                0.94566,                 0.9106,                0.95153,                0.80108,                0.65184,                0.38239,                0.94337,                0.72406,                0.42889,                0.95181,             0.00025309,             0.00025309,             0.00025309
                     81,                0.49305,                0.26321,                0.83708,                0.62779,                0.25703,                0.84205,                0.94575,                0.91074,                0.95031,                 0.8017,                 0.6499,                0.37859,                 0.9416,                 0.7224,                0.43094,                0.95192,             0.00024209,             0.00024209,             0.00024209
